ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2019","Tuberculosis†, Cum 2019, flag","Tuberculosis†, Cum 2018","Tuberculosis†, Cum 2018, flag",Location 1,Location 2,New Georeferenced Column
MISSOURI,2019,2,,-,0,,21,,,-,30,,MISSOURI,,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2019,2,320,,263,,321,,587,,587,,,MIDDLE ATLANTIC,
CALIFORNIA,2019,2,338,,338,,579,,788,,989,,CALIFORNIA,,POINT (-119.662127 37.211164)
WEST VIRGINIA,2019,2,2,,1,,3,,4,,2,,WEST VIRGINIA,,POINT (-80.613729 38.642579)
FLORIDA,2019,2,121,,121,,159,,262,,288,,FLORIDA,,POINT (-82.420978 28.260731)
MONTANA,2019,2,,-,0,,1,,,-,3,,MONTANA,,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2019,2,42,,40,,99,,82,,177,,,WEST NORTH CENTRAL,
MASSACHUSETTS,2019,2,32,,32,,52,,72,,96,,MASSACHUSETTS,,POINT (-71.481104 42.151077)
MOUNTAIN,2019,2,54,,54,,105,,122,,190,,,MOUNTAIN,
INDIANA,2019,2,33,,23,,41,,58,,51,,INDIANA,,POINT (-86.2818 39.919991)
AMERICAN SAMOA,2019,2,,-,0,,1,,1,,2,,,AMERICAN SAMOA,
UNITED STATES,2019,3,1544,,1544,,2474,,5352,,6465,,,UNITED STATES,
NEW ENGLAND,2019,3,49,,49,,74,,187,,227,,,NEW ENGLAND,
CONNECTICUT,2019,3,6,,6,,23,,41,,37,,CONNECTICUT,,POINT (-72.738288 41.575155)
MAINE,2019,3,3,,2,,7,,12,,11,,MAINE,,POINT (-69.06137 45.117911)
MASSACHUSETTS,2019,3,38,,36,,52,,117,,148,,MASSACHUSETTS,,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2019,3,,-,0,,4,,4,,8,,NEW HAMPSHIRE,,POINT (-71.57139 43.680429)
RHODE ISLAND,2019,3,2,,2,,6,,11,,18,,RHODE ISLAND,,POINT (-71.534637 41.572574)
VERMONT,2019,3,,-,0,,2,,2,,5,,VERMONT,,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2019,3,301,,267,,319,,887,,897,,,MIDDLE ATLANTIC,
NEW JERSEY,2019,3,85,,64,,85,,240,,183,,NEW JERSEY,,POINT (-74.655514 40.110253)
NEW YORK,2019,3,44,,37,,60,,124,,140,,NEW YORK,,POINT (-75.59655 42.921241)
NEW YORK CITY,2019,3,131,,108,,149,,388,,412,,,NEW YORK CITY,
PENNSYLVANIA,2019,3,41,,37,,57,,135,,162,,PENNSYLVANIA,,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2019,3,206,,133,,257,,534,,510,,,EAST NORTH CENTRAL,
ILLINOIS,2019,3,83,,51,,100,,234,,228,,ILLINOIS,,POINT (-89.148632 40.124144)
INDIANA,2019,3,27,,25,,41,,85,,74,,INDIANA,,POINT (-86.2818 39.919991)
MICHIGAN,2019,3,23,,23,,37,,80,,75,,MICHIGAN,,POINT (-85.730977 44.874798)
OHIO,2019,3,61,,19,,70,,102,,102,,OHIO,,POINT (-82.70936 40.415534)
WISCONSIN,2019,3,12,,9,,18,,33,,31,,WISCONSIN,,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2019,3,46,,46,,99,,175,,266,,,WEST NORTH CENTRAL,
IOWA,2019,3,,-,0,,16,,14,,33,,IOWA,,POINT (-93.500061 42.074659)
KANSAS,2019,3,,-,0,,6,,4,,24,,KANSAS,,POINT (-98.38018 38.484729)
MINNESOTA,2019,3,30,,26,,45,,95,,120,,MINNESOTA,,POINT (-94.198308 46.349153)
MISSOURI,2019,3,8,,8,,21,,34,,51,,MISSOURI,,POINT (-92.477244 38.3675)
NEBRASKA,2019,3,2,,1,,4,,5,,20,,NEBRASKA,,POINT (-99.810595 41.527099)
