ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis*, Current quarter, flag","Tuberculosis*, Previous 4 quarters Min","Tuberculosis*, Previous 4 quarters Min, flag","Tuberculosis*, Previous 4 quarters Max","Tuberculosis*, Previous 4 quarters Max, flag","Tuberculosis*, Cum 2014","Tuberculosis*, Cum 2014, flag","Tuberculosis*, Cum 2013","Tuberculosis*, Cum 2013, flag",Location 1 (state),Location 1,Location 2
ARIZONA,2014,4,74,,5,,74,,166,,184,,ARIZONA,POINT (-111.76380664699997 34.86597351900008),
OHIO,2014,4,21,,21,,39,,126,,149,,OHIO,POINT (-82.40425667899996 40.060212455000055),
LOUISIANA,2014,4,26,,1,,50,,104,,138,,LOUISIANA,POINT (-92.44567750499994 31.312663324000027),
NORTH CAROLINA,2014,4,45,,13,,61,,160,,216,,NORTH CAROLINA,POINT (-79.15924997399998 35.466220159000045),
MONTANA,2014,4,,-,0,,3,,4,,6,,MONTANA,POINT (-109.42441587999997 47.06652795700006),
COLORADO,2014,4,13,,9,,18,,56,,72,,COLORADO,POINT (-106.13360911499996 38.84384342200008),
GEORGIA,2014,4,48,,48,,86,,286,,335,,GEORGIA,POINT (-83.62757885599996 32.839683200000024),
ARKANSAS,2014,4,19,,19,,29,,93,,75,,ARKANSAS,POINT (-92.27448966799994 34.74865032200006),
ILLINOIS,2014,4,84,,57,,85,,297,,327,,ILLINOIS,POINT (-88.99770922699997 40.48501223300008),
WASHINGTON,2014,4,45,,43,,50,,182,,214,,WASHINGTON,POINT (-120.47002813699999 47.52228790000004),
ALABAMA,2014,4,34,,28,,36,,133,,108,,ALABAMA,POINT (-86.63185738799996 32.84057234800002),
PENNSYLVANIA,2014,4,67,,28,,67,,208,,214,,PENNSYLVANIA,POINT (-77.86069690799997 40.79373362300004),
FLORIDA,2014,4,83,,83,,168,,534,,641,,FLORIDA,POINT (-81.92895768899996 28.932042722000062),
NEVADA,2014,4,8,,5,,31,,68,,92,,NEVADA,POINT (-117.07183885899997 39.49324221300003),
OREGON,2014,4,2,,2,,19,,55,,72,,OREGON,POINT (-120.15502935599994 44.56745049300008),
TENNESSEE,2014,4,50,,29,,50,,147,,143,,TENNESSEE,POINT (-85.77448666899994 35.68094072700006),
MISSISSIPPI,2014,4,16,,16,,25,,76,,61,,MISSISSIPPI,POINT (-89.53802722999995 32.745513440000025),
MICHIGAN,2014,4,24,,23,,29,,103,,139,,MICHIGAN,POINT (-84.71438555599997 44.66132238800003),
