ReportingArea,MMWR Year,MMWR Week,"Tuberculosis, Current week","Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tuberculosis, Cum 2019†","Tuberculosis, Cum 2019†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
KANSAS,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
GUAM,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
NEW JERSEY,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW MEXICO,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,,EAST NORTH CENTRAL,20200214,
TENNESSEE,2020,2,,U,,NC,,U,,U,,-,2,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
CONNECTICUT,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MARYLAND,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
OKLAHOMA,2020,2,,U,,NC,,U,,U,,-,5,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
OHIO,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
MINNESOTA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
LOUISIANA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
HAWAII,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,,SOUTH ATLANTIC,20200228,
PENNSYLVANIA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
UTAH,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
COLORADO,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
VERMONT,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
KENTUCKY,2020,2,,U,,NC,,U,,U,,-,2,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
PUERTO RICO,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
MAINE,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
VIRGINIA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
ARIZONA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
WISCONSIN,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IDAHO,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,IDAHO,,20200251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
MICHIGAN,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
GEORGIA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,,NEW YORK CITY,20200212,
ARKANSAS,2020,2,,U,,NC,,U,,U,,-,9,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,2,,U,,NC,,U,,U,,-,3,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
WYOMING,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
MISSOURI,2020,2,,U,,NC,,U,,U,,-,4,,,-,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200209,
CALIFORNIA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
FLORIDA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
MONTANA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,2,,U,,NC,,U,,U,,-,10,,,-,1,,,WEST NORTH CENTRAL,20200220,
MASSACHUSETTS,2020,2,,U,,NC,,U,,U,,-,2,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
MOUNTAIN,2020,2,,U,,NC,,U,,U,,-,2,,,-,,-,,MOUNTAIN,20200248,
INDIANA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
US TERRITORIES,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,,US TERRITORIES,20200263,
