ReportingArea,MMWRYear,MMWRWeek,TuberculosisCurrentWeek,"Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag",TuberculosisCum2021,"Tuberculosis, Cum 2021†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2021†","Tularemia, Cum 2021†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
MAINE,2021,24,,-,1,,6,,8,,,-,0,,,-,,-,MAINE,,20212404,POINT (-69.06137 45.117911)
VIRGINIA,2021,24,3,,16,,53,,59,,,-,1,,,-,1,,VIRGINIA,,20212436,POINT (-78.666382 37.510861)
ARIZONA,2021,24,,-,8,,40,,73,,,-,0,,,-,1,,ARIZONA,,20212449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,24,,-,1,,,-,2,,,-,0,,,-,,-,,AMERICAN SAMOA,20212464,
WISCONSIN,2021,24,,-,3,,19,,18,,,-,1,,,-,,-,WISCONSIN,,20212419,POINT (-89.732969 44.639954)
IDAHO,2021,24,,-,1,,,-,7,,,-,1,,2,,,-,IDAHO,,20212451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,24,,-,0,,,-,4,,,-,0,,,-,,-,VIRGIN ISLANDS,,20212468,POINT (-64.840836 18.060868)
MICHIGAN,2021,24,,-,9,,,-,40,,,-,1,,,-,,-,MICHIGAN,,20212417,POINT (-85.730977 44.874798)
GEORGIA,2021,24,,-,11,,74,,128,,,-,0,,,-,,-,GEORGIA,,20212432,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,24,11,,19,,227,,204,,,-,1,,,-,,-,,NEW YORK CITY,20212412,
ARKANSAS,2021,24,,-,4,,30,,30,,,-,1,,,-,9,,ARKANSAS,,20212444,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,24,,-,3,,4,,20,,,-,0,,,-,,-,MISSISSIPPI,,20212441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,24,,-,1,,4,,10,,,-,0,,,-,,-,SOUTH DAKOTA,,20212427,POINT (-100.230491 44.43614)
WYOMING,2021,24,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20212456,POINT (-107.55145 42.999627)
MISSOURI,2021,24,,-,5,,36,,25,,,-,2,,1,,6,,MISSOURI,,20212424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,24,18,,102,,432,,395,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20212409,
CALIFORNIA,2021,24,5,,60,,460,,774,,,-,0,,,-,1,,CALIFORNIA,,20212459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,24,,-,2,,3,,8,,,-,0,,,-,,-,WEST VIRGINIA,,20212437,POINT (-80.613729 38.642579)
FLORIDA,2021,24,,-,12,,,-,199,,,-,0,,,-,,-,FLORIDA,,20212431,POINT (-82.420978 28.260731)
MONTANA,2021,24,,-,3,,,-,,-,,-,0,,,-,1,,MONTANA,,20212452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,24,2,,24,,101,,142,,1,,3,,8,,14,,,WEST NORTH CENTRAL,20212420,
MASSACHUSETTS,2021,24,,-,7,,59,,64,,,-,1,,,-,2,,MASSACHUSETTS,,20212405,POINT (-71.481104 42.151077)
MOUNTAIN,2021,24,,-,15,,104,,155,,,-,2,,3,,3,,,MOUNTAIN,20212448,
INDIANA,2021,24,,-,5,,39,,45,,,-,1,,,-,1,,INDIANA,,20212416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,24,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20212469,
US TERRITORIES,2021,24,2,,7,,29,,60,,,-,0,,,-,,-,,US TERRITORIES,20212463,
AMERICAN SAMOA,2021,29,,-,1,,,-,2,,,-,0,,,-,,-,,AMERICAN SAMOA,20212964,
WISCONSIN,2021,29,1,,4,,31,,20,,,-,1,,2,,,-,WISCONSIN,,20212919,POINT (-89.732969 44.639954)
IDAHO,2021,29,,-,0,,,-,8,,,-,1,,2,,,-,IDAHO,,20212951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,29,,-,0,,,-,4,,,-,0,,,-,,-,VIRGIN ISLANDS,,20212968,POINT (-64.840836 18.060868)
MICHIGAN,2021,29,,-,9,,,-,50,,,-,1,,1,,,-,MICHIGAN,,20212917,POINT (-85.730977 44.874798)
GEORGIA,2021,29,,-,11,,101,,144,,,-,0,,,-,,-,GEORGIA,,20212932,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,29,14,,19,,295,,246,,,-,1,,1,,,-,,NEW YORK CITY,20212912,
ARKANSAS,2021,29,,-,4,,40,,36,,,-,1,,,-,12,,ARKANSAS,,20212944,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,29,,-,2,,4,,25,,,-,0,,,-,,-,MISSISSIPPI,,20212941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,29,,-,2,,7,,12,,,-,0,,,-,,-,SOUTH DAKOTA,,20212927,POINT (-100.230491 44.43614)
WYOMING,2021,29,,-,1,,1,,,-,,-,1,,,-,1,,WYOMING,,20212956,POINT (-107.55145 42.999627)
MISSOURI,2021,29,,-,5,,36,,37,,,-,2,,1,,8,,MISSOURI,,20212924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,29,32,,102,,549,,481,,,-,1,,1,,1,,,MIDDLE ATLANTIC,20212909,
CALIFORNIA,2021,29,5,,60,,625,,925,,,-,0,,,-,1,,CALIFORNIA,,20212959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,29,,-,2,,5,,8,,,-,0,,,-,,-,WEST VIRGINIA,,20212937,POINT (-80.613729 38.642579)
FLORIDA,2021,29,,-,12,,,-,238,,,-,0,,,-,,-,FLORIDA,,20212931,POINT (-82.420978 28.260731)
MONTANA,2021,29,,-,3,,1,,,-,,-,1,,1,,1,,MONTANA,,20212952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,29,,-,24,,120,,175,,,-,2,,13,,21,,,WEST NORTH CENTRAL,20212920,
MASSACHUSETTS,2021,29,,-,7,,75,,83,,,-,1,,,-,3,,MASSACHUSETTS,,20212905,POINT (-71.481104 42.151077)
MOUNTAIN,2021,29,1,,15,,135,,184,,,-,2,,5,,4,,,MOUNTAIN,20212948,
INDIANA,2021,29,,-,21,,76,,54,,,-,1,,3,,1,,INDIANA,,20212916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20212969,
US TERRITORIES,2021,29,1,,7,,38,,76,,,-,0,,,-,,-,,US TERRITORIES,20212963,
NEBRASKA,2021,30,,-,3,,2,,22,,,-,1,,3,,3,,NEBRASKA,,20213025,POINT (-99.810595 41.527099)
TOTAL,2021,27,40,,341,,2791,,3657,,,-,8,,26,,39,,,TOTAL,20212770,
U.S. VIRGIN ISLANDS,2021,32,,-,0,,,-,4,,,-,0,,,-,,-,VIRGIN ISLANDS,,20213268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2021,32,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20213269,
TOTAL,2021,28,40,,341,,2957,,3802,,1,,5,,30,,47,,,TOTAL,20212870,
