ReportingArea,MMWRYear,MMWRWeek,TuberculosisCurrentWeek,"Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag",TuberculosisCum2021,"Tuberculosis, Cum 2021†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2021†","Tularemia, Cum 2021†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
EAST NORTH CENTRAL,2021,44,9,,67,,531,,441,,,-,1,,9,,6,,,EAST NORTH CENTRAL,20214414,
TENNESSEE,2021,44,,-,7,,71,,105,,,-,1,,1,,2,,TENNESSEE,,20214442,POINT (-86.343226 35.842998)
CONNECTICUT,2021,44,,-,4,,45,,51,,,-,0,,,-,,-,CONNECTICUT,,20214403,POINT (-72.738288 41.575155)
MARYLAND,2021,44,1,,10,,133,,124,,,-,1,,1,,,-,MARYLAND,,20214433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,44,6,,8,,63,,47,,,-,0,,,-,,-,SOUTH CAROLINA,,20214435,POINT (-80.864614 33.878572)
OKLAHOMA,2021,44,,-,3,,6,,57,,,-,4,,1,,2,,OKLAHOMA,,20214446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,44,,-,3,,17,,30,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214465,POINT (145.725693 15.1834)
OHIO,2021,44,8,,49,,102,,94,,,-,1,,1,,,-,OHIO,,20214418,POINT (-82.70936 40.415534)
MINNESOTA,2021,44,2,,17,,106,,80,,,-,0,,,-,3,,MINNESOTA,,20214423,POINT (-94.198308 46.349153)
LOUISIANA,2021,44,2,,7,,71,,79,,,-,1,,,-,,-,LOUISIANA,,20214445,POINT (-91.840238 30.921314)
HAWAII,2021,44,2,,7,,85,,82,,,-,0,,,-,,-,HAWAII,,20214460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,44,16,,51,,644,,999,,,-,1,,5,,4,,,SOUTH ATLANTIC,20214428,
PENNSYLVANIA,2021,44,1,,8,,136,,128,,,-,0,,,-,,-,PENNSYLVANIA,,20214413,POINT (-77.838886 40.896694)
UTAH,2021,44,,-,4,,11,,22,,,-,1,,2,,,-,UTAH,,20214455,POINT (-111.678222 39.323779)
COLORADO,2021,44,,-,7,,38,,39,,,-,1,,3,,1,,COLORADO,,20214450,POINT (-105.547832 38.998552)
VERMONT,2021,44,,-,2,,2,,2,,,-,0,,,-,,-,VERMONT,,20214408,POINT (-72.662695 44.075252)
KENTUCKY,2021,44,3,,5,,49,,52,,,-,2,,8,,5,,KENTUCKY,,20214440,POINT (-85.290484 37.526683)
PUERTO RICO,2021,44,1,,3,,11,,23,,,-,0,,,-,,-,PUERTO RICO,,20214467,POINT (-66.414655 18.215692)
MAINE,2021,44,,-,1,,11,,15,,,-,0,,,-,,-,MAINE,,20214404,POINT (-69.06137 45.117911)
VIRGINIA,2021,44,4,,16,,121,,120,,,-,0,,,-,2,,VIRGINIA,,20214436,POINT (-78.666382 37.510861)
ARIZONA,2021,44,,-,6,,89,,122,,,-,0,,,-,1,,ARIZONA,,20214449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,44,,-,0,,,-,4,,,-,0,,,-,,-,,AMERICAN SAMOA,20214464,
WISCONSIN,2021,44,,-,4,,47,,29,,,-,1,,3,,1,,WISCONSIN,,20214419,POINT (-89.732969 44.639954)
IDAHO,2021,44,,-,1,,1,,8,,,-,1,,2,,1,,IDAHO,,20214451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,44,,-,0,,,-,4,,,-,0,,,-,,-,VIRGIN ISLANDS,,20214468,POINT (-64.840836 18.060868)
TOTAL,2021,44,68,,343,,5234,,5945,,,-,11,,96,,125,,,TOTAL,20214470,
NEW HAMPSHIRE,2021,41,,-,3,,7,,7,,,-,1,,,-,,-,NEW HAMPSHIRE,,20214106,POINT (-71.57139 43.680429)
NEW YORK,2021,41,2,,12,,105,,123,,,-,0,,,-,1,,NEW YORK,,20214111,POINT (-75.59655 42.921241)
PACIFIC,2021,41,6,,68,,1303,,1605,,,-,5,,2,,2,,,PACIFIC,20214157,
WEST SOUTH CENTRAL,2021,41,1,,32,,754,,850,,,-,2,,3,,24,,,WEST SOUTH CENTRAL,20214143,
NEBRASKA,2021,41,,-,2,,2,,30,,,-,1,,6,,5,,NEBRASKA,,20214125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,41,6,,15,,214,,229,,,-,2,,8,,7,,,EAST SOUTH CENTRAL,20214138,
NORTH DAKOTA,2021,41,,-,1,,7,,10,,,-,1,,2,,8,,NORTH DAKOTA,,20214126,POINT (-100.46931 47.446305)
NEVADA,2021,41,,-,4,,45,,47,,,-,0,,,-,,-,NEVADA,,20214153,POINT (-114.916992 39.283294)
ILLINOIS,2021,41,,-,34,,170,,161,,,-,1,,1,,3,,ILLINOIS,,20214115,POINT (-89.148632 40.124144)
IOWA,2021,41,,-,3,,21,,35,,,-,1,,2,,2,,IOWA,,20214121,POINT (-93.500061 42.074659)
TEXAS,2021,41,,-,27,,626,,679,,,-,1,,1,,,-,TEXAS,,20214147,POINT (-99.317341 31.447238)
ALASKA,2021,41,1,,4,,47,,50,,,-,1,,,-,,-,ALASKA,,20214158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,41,,-,2,,10,,15,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20214130,POINT (-77.016275 38.904785)
WASHINGTON,2021,41,,-,10,,158,,121,,,-,5,,,-,,-,WASHINGTON,,20214162,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,41,,-,10,,165,,187,,,-,1,,5,,10,,,NEW ENGLAND,20214102,
RHODE ISLAND,2021,41,,-,2,,12,,6,,,-,0,,,-,,-,RHODE ISLAND,,20214107,POINT (-71.534637 41.572574)
OREGON,2021,41,1,,4,,55,,52,,,-,1,,1,,1,,OREGON,,20214161,POINT (-120.605279 43.940449)
DELAWARE,2021,41,,-,18,,35,,12,,,-,0,,,-,1,,DELAWARE,,20214129,POINT (-75.452394 38.994926)
ALABAMA,2021,41,,-,8,,71,,51,,,-,0,,,-,1,,ALABAMA,,20214139,POINT (-86.844516 32.756889)
KANSAS,2021,41,,-,7,,25,,26,,,-,3,,17,,8,,KANSAS,,20214122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,41,3,,21,,107,,112,,,-,1,,2,,,-,NORTH CAROLINA,,20214134,POINT (-79.130883 35.52603)
GUAM,2021,41,,-,3,,44,,50,,,-,0,,,-,,-,GUAM,,20214166,POINT (144.653198 13.3532)
NEW JERSEY,2021,41,1,,86,,163,,117,,,-,2,,4,,2,,NEW JERSEY,,20214110,POINT (-74.655514 40.110253)
NEW MEXICO,2021,41,,-,3,,18,,21,,,-,0,,,-,1,,NEW MEXICO,,20214154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,41,6,,67,,476,,431,,,-,1,,8,,6,,,EAST NORTH CENTRAL,20214114,
TENNESSEE,2021,41,2,,7,,69,,95,,,-,1,,1,,1,,TENNESSEE,,20214142,POINT (-86.343226 35.842998)
CONNECTICUT,2021,41,,-,3,,37,,49,,,-,0,,,-,,-,CONNECTICUT,,20214103,POINT (-72.738288 41.575155)
MARYLAND,2021,41,2,,10,,128,,115,,1,,0,,1,,,-,MARYLAND,,20214133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,41,2,,8,,52,,39,,,-,0,,,-,,-,SOUTH CAROLINA,,20214135,POINT (-80.864614 33.878572)
OKLAHOMA,2021,41,,-,4,,6,,51,,,-,1,,1,,2,,OKLAHOMA,,20214146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,41,,-,3,,17,,29,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214165,POINT (145.725693 15.1834)
OHIO,2021,41,,-,49,,81,,94,,,-,0,,,-,,-,OHIO,,20214118,POINT (-82.70936 40.415534)
MINNESOTA,2021,41,,-,17,,92,,73,,,-,0,,,-,3,,MINNESOTA,,20214123,POINT (-94.198308 46.349153)
LOUISIANA,2021,41,1,,7,,64,,73,,,-,1,,,-,,-,LOUISIANA,,20214145,POINT (-91.840238 30.921314)
HAWAII,2021,41,,-,5,,68,,78,,,-,0,,,-,,-,HAWAII,,20214160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,41,11,,51,,591,,926,,1,,1,,4,,3,,,SOUTH ATLANTIC,20214128,
PENNSYLVANIA,2021,41,,-,10,,126,,114,,,-,0,,,-,,-,PENNSYLVANIA,,20214113,POINT (-77.838886 40.896694)
UTAH,2021,41,,-,4,,9,,21,,,-,1,,2,,,-,UTAH,,20214155,POINT (-111.678222 39.323779)
COLORADO,2021,41,1,,7,,34,,36,,,-,1,,3,,1,,COLORADO,,20214150,POINT (-105.547832 38.998552)
VERMONT,2021,41,,-,2,,2,,2,,,-,0,,,-,,-,VERMONT,,20214108,POINT (-72.662695 44.075252)
KENTUCKY,2021,41,3,,5,,43,,52,,,-,2,,7,,5,,KENTUCKY,,20214140,POINT (-85.290484 37.526683)
PUERTO RICO,2021,41,,-,3,,9,,23,,,-,0,,,-,,-,PUERTO RICO,,20214167,POINT (-66.414655 18.215692)
MAINE,2021,41,,-,1,,10,,14,,,-,0,,,-,,-,MAINE,,20214104,POINT (-69.06137 45.117911)
VIRGINIA,2021,41,4,,16,,108,,107,,,-,0,,,-,2,,VIRGINIA,,20214136,POINT (-78.666382 37.510861)
ARIZONA,2021,41,,-,6,,81,,109,,,-,0,,,-,1,,ARIZONA,,20214149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,41,,-,0,,,-,4,,,-,0,,,-,,-,,AMERICAN SAMOA,20214164,
WISCONSIN,2021,41,,-,4,,44,,27,,,-,1,,3,,1,,WISCONSIN,,20214119,POINT (-89.732969 44.639954)
IDAHO,2021,41,,-,1,,1,,8,,,-,1,,2,,1,,IDAHO,,20214151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,41,,-,0,,,-,4,,,-,0,,,-,,-,VIRGIN ISLANDS,,20214168,POINT (-64.840836 18.060868)
MICHIGAN,2021,41,,-,11,,80,,76,,,-,1,,1,,,-,MICHIGAN,,20214117,POINT (-85.730977 44.874798)
GEORGIA,2021,41,,-,10,,145,,191,,,-,0,,,-,,-,GEORGIA,,20214132,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,41,6,,19,,400,,343,,,-,1,,2,,1,,,NEW YORK CITY,20214112,
ARKANSAS,2021,41,,-,6,,58,,47,,,-,2,,1,,22,,ARKANSAS,,20214144,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,41,1,,4,,31,,31,,,-,0,,,-,,-,MISSISSIPPI,,20214141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,41,,-,2,,9,,14,,,-,4,,13,,10,,SOUTH DAKOTA,,20214127,POINT (-100.230491 44.43614)
WYOMING,2021,41,,-,1,,1,,,-,,-,1,,,-,2,,WYOMING,,20214156,POINT (-107.55145 42.999627)
MISSOURI,2021,41,,-,5,,37,,54,,,-,1,,1,,13,,MISSOURI,,20214124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,41,9,,102,,794,,697,,,-,2,,6,,4,,,MIDDLE ATLANTIC,20214109,
CALIFORNIA,2021,41,4,,60,,975,,1304,,,-,2,,1,,1,,CALIFORNIA,,20214159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,41,,-,2,,6,,10,,,-,0,,,-,,-,WEST VIRGINIA,,20214137,POINT (-80.613729 38.642579)
FLORIDA,2021,41,,-,9,,,-,325,,,-,1,,1,,,-,FLORIDA,,20214131,POINT (-82.420978 28.260731)
MONTANA,2021,41,,-,3,,1,,1,,,-,1,,2,,1,,MONTANA,,20214152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,41,,-,25,,193,,242,,,-,6,,41,,49,,,WEST NORTH CENTRAL,20214120,
MASSACHUSETTS,2021,41,,-,7,,97,,109,,,-,1,,5,,10,,MASSACHUSETTS,,20214105,POINT (-71.481104 42.151077)
MOUNTAIN,2021,41,1,,11,,190,,243,,,-,2,,9,,7,,,MOUNTAIN,20214148,
INDIANA,2021,41,6,,21,,101,,73,,,-,1,,3,,2,,INDIANA,,20214116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20214169,
US TERRITORIES,2021,41,,-,7,,70,,110,,,-,0,,,-,,-,,US TERRITORIES,20214163,
TOTAL,2021,45,45,,343,,5351,,6103,,,-,11,,100,,130,,,TOTAL,20214570,
US RESIDENTS,2021,42,67,,336,,4832,,5513,,,-,11,,89,,119,,,US RESIDENTS,20214201,
NEW HAMPSHIRE,2021,42,,-,3,,7,,7,,,-,1,,,-,,-,NEW HAMPSHIRE,,20214206,POINT (-71.57139 43.680429)
NEW YORK,2021,42,3,,12,,107,,127,,,-,0,,,-,1,,NEW YORK,,20214211,POINT (-75.59655 42.921241)
PACIFIC,2021,42,9,,68,,1340,,1633,,,-,5,,2,,6,,,PACIFIC,20214257,
WEST SOUTH CENTRAL,2021,42,4,,32,,781,,870,,,-,4,,3,,24,,,WEST SOUTH CENTRAL,20214243,
NEBRASKA,2021,42,,-,2,,2,,30,,,-,1,,6,,5,,NEBRASKA,,20214225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,42,7,,15,,221,,233,,,-,2,,9,,8,,,EAST SOUTH CENTRAL,20214238,
NORTH DAKOTA,2021,42,,-,1,,7,,10,,,-,1,,2,,8,,NORTH DAKOTA,,20214226,POINT (-100.46931 47.446305)
NEVADA,2021,42,,-,4,,45,,49,,,-,0,,,-,,-,NEVADA,,20214253,POINT (-114.916992 39.283294)
ILLINOIS,2021,42,,-,34,,187,,161,,,-,1,,1,,3,,ILLINOIS,,20214215,POINT (-89.148632 40.124144)
IOWA,2021,42,,-,3,,21,,35,,,-,1,,2,,2,,IOWA,,20214221,POINT (-93.500061 42.074659)
TEXAS,2021,42,,-,28,,646,,692,,,-,1,,1,,,-,TEXAS,,20214247,POINT (-99.317341 31.447238)
ALASKA,2021,42,1,,4,,49,,52,,,-,0,,,-,1,,ALASKA,,20214258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,42,,-,2,,12,,15,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20214230,POINT (-77.016275 38.904785)
WASHINGTON,2021,42,,-,10,,162,,121,,,-,5,,,-,,-,WASHINGTON,,20214262,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,42,,-,10,,167,,190,,,-,1,,5,,10,,,NEW ENGLAND,20214202,
RHODE ISLAND,2021,42,,-,2,,12,,6,,,-,0,,,-,,-,RHODE ISLAND,,20214207,POINT (-71.534637 41.572574)
OREGON,2021,42,4,,4,,59,,54,,,-,1,,1,,1,,OREGON,,20214261,POINT (-120.605279 43.940449)
DELAWARE,2021,42,,-,18,,35,,12,,,-,0,,,-,1,,DELAWARE,,20214229,POINT (-75.452394 38.994926)
ALABAMA,2021,42,4,,8,,75,,51,,,-,0,,,-,1,,ALABAMA,,20214239,POINT (-86.844516 32.756889)
KANSAS,2021,42,,-,7,,25,,26,,,-,3,,18,,8,,KANSAS,,20214222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,42,5,,21,,112,,114,,,-,1,,2,,1,,NORTH CAROLINA,,20214234,POINT (-79.130883 35.52603)
GUAM,2021,42,,-,3,,46,,50,,,-,0,,,-,,-,GUAM,,20214266,POINT (144.653198 13.3532)
NEW JERSEY,2021,42,3,,86,,165,,118,,,-,2,,4,,2,,NEW JERSEY,,20214210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,42,1,,3,,19,,22,,,-,0,,,-,1,,NEW MEXICO,,20214254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,42,3,,67,,506,,434,,,-,1,,9,,6,,,EAST NORTH CENTRAL,20214214,
TENNESSEE,2021,42,1,,7,,70,,98,,,-,1,,1,,2,,TENNESSEE,,20214242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,42,,-,4,,39,,49,,,-,0,,,-,,-,CONNECTICUT,,20214203,POINT (-72.738288 41.575155)
MARYLAND,2021,42,2,,10,,131,,119,,,-,1,,1,,,-,MARYLAND,,20214233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,42,,-,8,,54,,40,,,-,0,,,-,,-,SOUTH CAROLINA,,20214235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,42,,-,3,,6,,55,,,-,4,,1,,2,,OKLAHOMA,,20214246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,42,,-,3,,17,,29,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214265,POINT (145.725693 15.1834)
OHIO,2021,42,3,,49,,92,,94,,,-,1,,1,,,-,OHIO,,20214218,POINT (-82.70936 40.415534)
MINNESOTA,2021,42,6,,17,,98,,73,,,-,0,,,-,3,,MINNESOTA,,20214223,POINT (-94.198308 46.349153)
LOUISIANA,2021,42,4,,7,,68,,73,,,-,1,,,-,,-,LOUISIANA,,20214245,POINT (-91.840238 30.921314)
HAWAII,2021,42,,-,5,,74,,81,,,-,0,,,-,,-,HAWAII,,20214260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,42,10,,51,,604,,945,,,-,1,,4,,4,,,SOUTH ATLANTIC,20214228,
PENNSYLVANIA,2021,42,6,,10,,133,,116,,,-,0,,,-,,-,PENNSYLVANIA,,20214213,POINT (-77.838886 40.896694)
UTAH,2021,42,,-,4,,9,,21,,,-,1,,2,,,-,UTAH,,20214255,POINT (-111.678222 39.323779)
COLORADO,2021,42,,-,7,,37,,38,,,-,1,,3,,1,,COLORADO,,20214250,POINT (-105.547832 38.998552)
VERMONT,2021,42,,-,2,,2,,2,,,-,0,,,-,,-,VERMONT,,20214208,POINT (-72.662695 44.075252)
KENTUCKY,2021,42,1,,5,,44,,52,,,-,2,,8,,5,,KENTUCKY,,20214240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,42,,-,3,,9,,23,,,-,0,,,-,,-,PUERTO RICO,,20214267,POINT (-66.414655 18.215692)
MAINE,2021,42,,-,1,,10,,14,,,-,0,,,-,,-,MAINE,,20214204,POINT (-69.06137 45.117911)
VIRGINIA,2021,42,3,,16,,111,,109,,,-,0,,,-,2,,VIRGINIA,,20214236,POINT (-78.666382 37.510861)
ARIZONA,2021,42,,-,6,,81,,113,,,-,0,,,-,1,,ARIZONA,,20214249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,42,,-,0,,,-,4,,,-,0,,,-,,-,,AMERICAN SAMOA,20214264,
WISCONSIN,2021,42,,-,4,,46,,29,,,-,1,,3,,1,,WISCONSIN,,20214219,POINT (-89.732969 44.639954)
IDAHO,2021,42,,-,1,,1,,8,,,-,1,,2,,1,,IDAHO,,20214251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,42,,-,0,,,-,4,,,-,0,,,-,,-,VIRGIN ISLANDS,,20214268,POINT (-64.840836 18.060868)
MICHIGAN,2021,42,,-,11,,80,,77,,,-,1,,1,,,-,MICHIGAN,,20214217,POINT (-85.730977 44.874798)
GEORGIA,2021,42,,-,10,,143,,195,,,-,0,,,-,,-,GEORGIA,,20214232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,42,13,,19,,413,,353,,,-,1,,2,,1,,,NEW YORK CITY,20214212,
ARKANSAS,2021,42,,-,6,,61,,50,,,-,2,,1,,22,,ARKANSAS,,20214244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,42,1,,4,,32,,32,,,-,0,,,-,,-,MISSISSIPPI,,20214241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,42,2,,2,,11,,14,,,-,4,,13,,10,,SOUTH DAKOTA,,20214227,POINT (-100.230491 44.43614)
WYOMING,2021,42,,-,1,,1,,,-,,-,0,,,-,3,,WYOMING,,20214256,POINT (-107.55145 42.999627)
MISSOURI,2021,42,,-,5,,37,,54,,,-,1,,1,,13,,MISSOURI,,20214224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,42,25,,102,,818,,714,,,-,2,,6,,4,,,MIDDLE ATLANTIC,20214209,
CALIFORNIA,2021,42,4,,60,,996,,1325,,,-,1,,1,,4,,CALIFORNIA,,20214259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,42,,-,2,,6,,10,,,-,0,,,-,,-,WEST VIRGINIA,,20214237,POINT (-80.613729 38.642579)
FLORIDA,2021,42,,-,9,,,-,331,,,-,1,,1,,,-,FLORIDA,,20214231,POINT (-82.420978 28.260731)
MONTANA,2021,42,,-,3,,1,,1,,,-,1,,2,,1,,MONTANA,,20214252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,42,8,,25,,201,,242,,,-,6,,42,,49,,,WEST NORTH CENTRAL,20214220,
MASSACHUSETTS,2021,42,,-,7,,97,,112,,,-,1,,5,,10,,MASSACHUSETTS,,20214205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,42,1,,11,,194,,252,,,-,2,,9,,8,,,MOUNTAIN,20214248,
INDIANA,2021,42,,-,21,,101,,73,,,-,1,,3,,2,,INDIANA,,20214216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,42,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20214269,
US TERRITORIES,2021,42,,-,7,,72,,110,,,-,0,,,-,,-,,US TERRITORIES,20214263,
MICHIGAN,2021,44,,-,11,,80,,80,,,-,1,,1,,,-,MICHIGAN,,20214417,POINT (-85.730977 44.874798)
GEORGIA,2021,44,,-,10,,143,,201,,,-,0,,,-,,-,GEORGIA,,20214432,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,44,3,,19,,434,,377,,,-,1,,2,,1,,,NEW YORK CITY,20214412,
ARKANSAS,2021,44,,-,6,,61,,51,,,-,1,,1,,27,,ARKANSAS,,20214444,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,44,,-,4,,33,,34,,,-,0,,,-,,-,MISSISSIPPI,,20214441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,44,,-,2,,11,,14,,,-,4,,14,,10,,SOUTH DAKOTA,,20214427,POINT (-100.230491 44.43614)
WYOMING,2021,44,,-,1,,1,,,-,,-,0,,,-,3,,WYOMING,,20214456,POINT (-107.55145 42.999627)
MISSOURI,2021,44,,-,5,,37,,59,,,-,1,,1,,13,,MISSOURI,,20214424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,44,14,,102,,861,,764,,,-,2,,6,,4,,,MIDDLE ATLANTIC,20214409,
CALIFORNIA,2021,44,6,,60,,1091,,1416,,,-,2,,2,,4,,CALIFORNIA,,20214459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,44,,-,2,,6,,10,,,-,1,,1,,,-,WEST VIRGINIA,,20214437,POINT (-80.613729 38.642579)
FLORIDA,2021,44,,-,9,,,-,344,,,-,1,,1,,,-,FLORIDA,,20214431,POINT (-82.420978 28.260731)
MONTANA,2021,44,,-,3,,1,,1,,,-,1,,2,,1,,MONTANA,,20214452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,44,7,,25,,219,,257,,,-,6,,47,,50,,,WEST NORTH CENTRAL,20214420,
MASSACHUSETTS,2021,44,,-,7,,101,,120,,,-,1,,5,,10,,MASSACHUSETTS,,20214405,POINT (-71.481104 42.151077)
MOUNTAIN,2021,44,,-,11,,209,,265,,,-,2,,9,,8,,,MOUNTAIN,20214448,
INDIANA,2021,44,,-,21,,107,,77,,,-,1,,3,,2,,INDIANA,,20214416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,44,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20214469,
US TERRITORIES,2021,44,1,,7,,76,,111,,,-,0,,,-,,-,,US TERRITORIES,20214463,
TOTAL,2021,46,54,,342,,5486,,6217,,,-,11,,105,,131,,,TOTAL,20214670,
US RESIDENTS,2021,49,56,,335,,5884,,6500,,,-,11,,111,,135,,,US RESIDENTS,20214901,
NEW HAMPSHIRE,2021,49,,-,2,,9,,11,,,-,1,,,-,,-,NEW HAMPSHIRE,,20214906,POINT (-71.57139 43.680429)
NEW YORK,2021,49,4,,12,,130,,158,,,-,1,,1,,1,,NEW YORK,,20214911,POINT (-75.59655 42.921241)
PACIFIC,2021,49,8,,68,,1661,,1927,,,-,5,,4,,6,,,PACIFIC,20214957,
WEST SOUTH CENTRAL,2021,49,2,,31,,950,,1016,,,-,4,,3,,34,,,WEST SOUTH CENTRAL,20214943,
NEBRASKA,2021,49,,-,2,,4,,30,,,-,1,,8,,5,,NEBRASKA,,20214925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,49,6,,15,,263,,279,,,-,2,,12,,10,,,EAST SOUTH CENTRAL,20214938,
NORTH DAKOTA,2021,49,,-,1,,9,,10,,,-,1,,3,,8,,NORTH DAKOTA,,20214926,POINT (-100.46931 47.446305)
NEVADA,2021,49,,-,5,,56,,54,,,-,0,,,-,,-,NEVADA,,20214953,POINT (-114.916992 39.283294)
ILLINOIS,2021,49,,-,32,,206,,216,,,-,1,,2,,3,,ILLINOIS,,20214915,POINT (-89.148632 40.124144)
IOWA,2021,49,,-,3,,32,,37,,,-,1,,2,,3,,IOWA,,20214921,POINT (-93.500061 42.074659)
TEXAS,2021,49,1,,29,,797,,808,,,-,1,,1,,,-,TEXAS,,20214947,POINT (-99.317341 31.447238)
ALASKA,2021,49,,-,4,,55,,55,,,-,0,,,-,1,,ALASKA,,20214958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,49,,-,2,,15,,19,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20214930,POINT (-77.016275 38.904785)
WASHINGTON,2021,49,,-,9,,187,,150,,,-,5,,1,,,-,WASHINGTON,,20214962,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,49,1,,10,,206,,225,,,-,1,,5,,10,,,NEW ENGLAND,20214902,
RHODE ISLAND,2021,49,1,,2,,18,,6,,,-,0,,,-,,-,RHODE ISLAND,,20214907,POINT (-71.534637 41.572574)
OREGON,2021,49,2,,6,,71,,62,,,-,1,,1,,1,,OREGON,,20214961,POINT (-120.605279 43.940449)
DELAWARE,2021,49,1,,18,,40,,14,,,-,0,,,-,1,,DELAWARE,,20214929,POINT (-75.452394 38.994926)
ALABAMA,2021,49,,-,8,,85,,68,,,-,0,,,-,2,,ALABAMA,,20214939,POINT (-86.844516 32.756889)
KANSAS,2021,49,,-,7,,35,,32,,,-,3,,23,,9,,KANSAS,,20214922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,49,3,,21,,148,,129,,,-,1,,2,,1,,NORTH CAROLINA,,20214934,POINT (-79.130883 35.52603)
GUAM,2021,49,,-,3,,52,,54,,,-,0,,,-,,-,GUAM,,20214966,POINT (144.653198 13.3532)
NEW JERSEY,2021,49,7,,86,,204,,140,,,-,2,,4,,3,,NEW JERSEY,,20214910,POINT (-74.655514 40.110253)
NEW MEXICO,2021,49,,-,3,,22,,24,,,-,0,,,-,1,,NEW MEXICO,,20214954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,49,6,,66,,585,,517,,,-,2,,13,,7,,,EAST NORTH CENTRAL,20214914,
TENNESSEE,2021,49,1,,7,,81,,113,,,-,1,,1,,3,,TENNESSEE,,20214942,POINT (-86.343226 35.842998)
